scenario,policy,high_started,high_arrivals,high_started_over_arrivals,high_started_over_arrivals_disp,wait_km_p50_h,wait_km_p90_h,wait_km_p50_disp,wait_km_p90_disp,wait_max_bound_h,wait_max_bound_disp,overline_B95_days,util_mean,util_p95,eow_start_share_mean,eow_start_share_p95,t_end_h,high_censored,seed
S1_normal,FIFO,11,21,0.5238095238095238,11/21,315.11905816630076,,315.1,$> 325.2$,402.5957360134669,$\ge 402.6$,6.451222360640857,0.9352830331426547,0.9836135220153909,0.08541666666666667,0.5,1344.0,10,42
S1_normal,CVSS-only,18,21,0.8571428571428571,18/21,48.28087983763044,,48.3,$> 253.9$,402.5957360134669,$\ge 402.6$,5.567980203362093,0.9054144776331438,0.9942946917522125,0.03125,0.25,1344.0,3,42
S1_normal,R-risk-only,21,21,1.0,21/21,40.93482198027894,92.49134458794356,40.9,92.5,314.82932543259756,314.8,3.7609802733746283,0.938631864428273,0.9946218562011996,0.051041666666666666,0.21250000000000002,1344.0,0,42
S1_normal,RD+WGPS,21,21,1.0,21/21,37.58268699034079,82.77663384096172,37.6,82.8,92.49134458794356,92.5,1.1168497425617372,0.8840963517337446,0.9973601487994164,0.0,0.0,1344.0,0,42
S2_kev_burst,FIFO,17,21,0.8095238095238095,17/21,240.1362914120756,378.623105369216,240.1,378.6,433.35457626134416,433.4,7.16874122644939,0.9140466034656324,0.9936914557715648,0.07142857142857142,0.2708333333333333,1344.0,4,42
S2_kev_burst,CVSS-only,16,21,0.7619047619047619,16/21,87.79447915103819,674.3648877975136,87.8,674.4,1097.2491116293102,$\ge 1097.2$,19.65501719061643,0.9054635294389672,0.9909518260601718,0.07395833333333333,0.2708333333333333,1344.0,5,42
S2_kev_burst,R-risk-only,19,21,0.9047619047619048,19/21,52.426932412221504,117.83014841276508,52.4,117.8,132.1910778539915,132.2,1.7376013598673608,0.9078984038774948,0.9946549117358049,0.02291666666666667,0.175,1344.0,2,42
S2_kev_burst,RD+WGPS,19,21,0.9047619047619048,19/21,44.50757559068202,84.43160591718495,44.5,84.4,94.73592266316018,94.7,1.2172185610619457,0.8728957540807676,0.9730593696947392,0.0,0.0,1344.0,2,42
S3_lowcap_hetero,FIFO,5,20,0.25,5/20,,,$> 700.2$,$> 700.2$,971.0216889422812,$\ge 971.0$,18.19557845589362,0.9147672277666778,0.9819692987230353,0.03125,0.16249999999999987,1344.0,15,42
S3_lowcap_hetero,CVSS-only,5,20,0.25,5/20,,,$> 437.3$,$> 437.3$,1288.9724530706492,$\ge 1289.0$,25.81159139689188,0.9292058432320232,0.9758980904303897,0.07291666666666666,0.3041666666666666,1344.0,15,42
S3_lowcap_hetero,R-risk-only,11,20,0.55,11/20,272.12599424334667,,272.1,$> 515.6$,1181.7964697557036,$\ge 1181.8$,20.542912256358296,0.8291885998445623,0.95788093349767,0.03125,0.16249999999999987,1344.0,9,42
S3_lowcap_hetero,RD+WGPS,18,20,0.9,18/20,33.02168894228123,147.2690668803312,33.0,147.3,147.92128633396646,147.9,2.021812052063993,0.9152280043740187,0.9799739978231501,0.0,0.0,1344.0,2,42
S1_normal,FIFO,15,19,0.7894736842105263,15/19,176.86251472778713,288.458774430281,176.9,288.5,321.5785623592434,321.6,5.604915443141079,0.9535882555862404,0.9928203754000543,0.03333333333333333,0.175,1344.0,4,43
S1_normal,CVSS-only,19,19,1.0,19/19,45.61190356226325,149.2154928789983,45.6,149.2,151.91908997850555,151.9,2.1874149744181164,0.940524276454371,0.9966612551145624,0.040625,0.21250000000000002,1344.0,0,43
S1_normal,R-risk-only,19,19,1.0,19/19,47.22653406541449,77.87389331610302,47.2,77.9,406.70165072139514,406.7,5.321928842063933,0.9139817832220029,0.9853425409570062,0.04375,0.23333333333333334,1344.0,0,43
S1_normal,RD+WGPS,19,19,1.0,19/19,45.234488345605655,73.9930621814745,45.2,74.0,76.3235169513066,76.3,1.0492201870587134,0.8856932045503518,0.9953836809893161,0.0,0.0,1344.0,0,43
S2_kev_burst,FIFO,19,21,0.9047619047619048,19/21,253.7558570486475,337.2787496182326,253.8,337.3,337.54084887877343,337.5,7.382935612915563,0.9095456822720314,0.989373091200838,0.0,0.0,1344.0,2,43
